Model,SEAT,ICAT,ST2,SK2,group
bert-large-A,0.2126048445431987,40.25816921725257,0.3018204088501921,51.565254101885415,1
albert-base-v2-A,0.9541140843372243,42.47666508624396,0.6251525239779205,18.356681831006735,1
albert-xxlarge-v2-A,0.964114,40.31262182997637,0.22733797263659739,66.66627904864,1
bert-A,0.20658140682915604,30.662103221087577,0.5228845781825164,2.176293696836357,1
distilbert-base-A,0.5978058051620597,24.818204419888644,0.5108590194954239,0.25510328589453124,1
bigbird-roberta-base-A,0.32822982419385094,48.3687128123341,0.2837240468529494,19.202812149039662,1
bigbird-roberta-large-A,0.5242700549388558,49.950316771314675,0.2936372664835716,53.38161061489355,1
electra-base-A,-0.33938014530119276,59.271463613853584,0.5284219137796313,3.201576852211076,1
electra-large-A,0.08461751830077525,45.75701843294684,0.2936372664835716,53.38161061489355,1
electra-small-A,0.43410337834567514,43.10144073529527,0.245059111491867,63.343998561830645,1
mobilebert-A,0.3207410498612831,45.22648465312655,0.5581819667025378,8.371350039752553,1
deberta-base-A,0.5370333848621246,54.10314749998409,0.7145293730659623,59.42533076679419,1
deberta-large-A,0.395960313377832,56.90547022772426,0.3133397537541258,48.935336875965405,1
mpnet-base-A,0.0790947861723942,37.679528906261055,0.9090207263189125,48.5118423776501,1
roberta-base-A,0.5774016472486022,39.19821780426041,0.96124214056276,17.51180578335933,1
roberta-large-A,0.4304799159820813,48.402699809631685,0.39962176439892083,44.38254642202458,1
squeezebert-A,0.423841389897813,27.50226891729929,0.564602523107002,9.418633281632399,1
xlm-roberta-base-A,0.29944369001064614,50.788053260601146,0.6445002494136993,20.92188678889544,1
bigbird-roberta-base,0.12012084726687089,33.555087061615595,0.2564208439011466,2.9437808260966847,0
bigbird-roberta-large,0.24675906098825004,39.73491664031344,2.3322277308724395,4.876861560608326,0
conv-bert-base,0.3465411266818405,61.25567150341585,1.106537604725771,64.43792635649673,0
conv-bert-medium-small,0.05536463544443073,53.19880603940254,0.5044154505012557,1.4056466289571858,0
conv-bert-small,0.2741046583103825,53.828667023670796,0.2957234832469213,52.92257992514324,0
deberta-base,0.5032091116241652,53.312744476267014,0.4247536935962728,20.056276288409443,0
electra-small,-0.15240658826045408,50.19352543747259,0.4993716296454238,2.4298399055290503,0
electra-base,0.3961433085094644,46.60135601871631,0.5867280810117776,12.86768798049183,0
electra-large,0.3380707307813255,64.0767618199811,0.5662347366570124,9.681370091015001,0
deberta-large,-0.15141571397600087,58.651984047085314,0.7675620304370163,35.08870889838717,0
deberta-xlarge,-0.11958186593625288,51.19884610750052,0.236414494442738,64.98352157327145,0
mpnet-base,0.2422792842927562,35.27779211607992,0.7150549843883471,29.422894791023673,0
mobilebert,-0.17047870325911135,33.941312037987544,0.78827379887238,37.20374199957548,0
squeezebert,0.34438872585909847,32.35205583874182,0.8297072044497895,41.264282849173,0
bert-large,0.26013510987662186,36.009700395005716,0.8337161410705924,41.64618679488947,0
roberta-large,0.44025156141038463,34.60402393353762,2.2985680306002294,24.764055575488356,0
albert-base-v2,0.7082012620727448,33.908396165244966,0.7642288908553336,34.74249552218319,0
xlm-roberta-large,-0.4409050753709597,23.885908342182063,0.2915230448229247,53.84401746182368,0
bert-base,0.6788227829131942,37.98238929478983,0.7991102269854622,38.2866890018899,0
roberta-base,0.7687831935316454,33.49847895599801,0.8270302171434665,10.076880686767439,0
albert-xxlarge-v2,0.1400306918571293,37.84823134246583,0.6653379168786344,23.56035547587807,0
xlm-roberta-base,-0.31357302628503164,19.809889764950867,0.41931296063136614,21.498527833613913,0
distilbert-base,0.7631513451515882,31.076543391057896,0.8899964820021875,46.82864915210378,0
